length,call
0.6,info
1.1,info
1.0,info
1.9,info
3.8,info
1.6,info
0.4,info
0.6,info
2.2,info
12.3,info
4.2,info
2.8,info
1.4,info
5.1,sales
1.7,sales
4.4,sales
26.6,sales
7.4,sales
1.4,sales
7.0,sales
3.9,sales
3.1,sales
1.2,sales
1.9,sales
17.3,sales
7.8,sales
4.3,sales
3.4,sales
1.3,sales
2.0,sales
5.2,service
2.9,service
2.6,service
1.2,service
7.0,service
14.2,service
8.4,service
0.6,service
26.7,service
7.7,service
4.8,service
7.2,service
2.7,service
3.4,service
13.3,service
6.3,other
1.2,other
3.1,other
2.5,other
3.0,other
2.6,other
0.8,other
