Y,X1,X2,X3,X4
3150,35,4,0,0
3150,31,1,0,0
6150,42,2,1,1
3750,31,2,1,1
2700,36,4,0,0
4050,36,5,1,1
3450,31,5,0,1
3450,32,5,1,0
4050,38,9,1,1
3450,31,5,0,1
2250,23,1,0,0
2850,33,5,0,0
2400,29,1,0,0
4950,50,8,0,1
4200,32,3,1,1
3750,"31,5",7,1,1
2550,30,1,0,1
3450,"31,5",3,1,0
2100,29,2,0,0
3450,35,3,1,0
3600,34,2,1,0
3000,31,2,0,1
3600,34,1,1,0
2850,33,5,0,0
3000,32,3,1,0
3600,31,2,1,1
3390,33,2,1,0
3300,30,5,1,0
5190,38,7,1,1
4050,32,1,1,1
3750,36,5,0,1
3600,36,3,0,1
3750,33,2,1,1
4050,"33,7",5,1,1
3720,31,5,0,1
